Project ID,Project Name,Project type,Project website,Area of Society,DSI Areas,Social Impact,Technology Focus,Technology method,Timestamp ID,Date and Time
f1ac3596-96b2-b73d-1986-e556d21371d1,Online Resources,education and training,,"education and skills, participation and democracy, culture and arts",open access,"An increase in the quality, accessibility and ambition of arts education for all ages.",open knowledge,"crowdsourcing, online learning models and moocs",8f0218e1-9d59-cb3c-9fb7-0780ed6da9f8,
154a97e1-15c0-a818-d55f-183ad9c72327,supporting innovative social innovation through digital and creative technologies,incubators and accelerators,,"education and skills, work and employment",collaborative economy,community and voluntary sector growth and suatainability,"open data, open networks","social media, social networks",4a251bf1-f2d9-e5d6-4f0e-e0d5f07c18db,
2d919380-d9ee-12ec-56db-4932cd7f31af,MultipliCities,a mix of trainingskill development esp for migrantminority communities and young people and delivering digital services around creative walks,www.multiwalks.com,"urban development, migrant rights, finance and economy, participation and democracy, young people, race equality, tourism, health and wellbeing, social enterprise, neighbourhood regeneration, culture and arts, work and employment, regeneration, education and skills",awareness networks,"minority ethnic practitioners in relation to tourism and urban development
Process has started very recently so evidence is being accumulated from now","open knowledge, open networks","crowdsourcing, social networks, crowdmapping, online notice board, mobile apps, social media, online market place, geotagging",2c904287-6e78-f20d-b57c-570244af6c2a,
f9410a9f-e241-5be8-e3e9-96ebfcdd30d2,Project Maths - Free Online Courses,education and training,Project-Maths,"finance and economy, science, education and skills","collaborative economy, open access","The project is breaking down barriers to learning key maths topics on the Irish education curriculum. It provides an invaluable supplement to mainstream classroom based learning, which students might otherwise have to access through expensive additional tuition, or face the prospect of under-performing in mathematics exams. The project supports students in an innovative and creative way in mastering a sometimes challenging subject. It also promotes mathematical knowledge - identified as a core element in the Irish knowledge economy. ",open knowledge,online learning models and moocs,85f067e1-464b-79c4-1595-5d8cb007bc57,
bd82e195-4aa6-e742-106e-0c4cd8502fc0,Open Source 3D creation,network,gooseberry.blender.org,"science, finance and economy, culture and arts, education and skills",new ways of making,"open content, and with a successful economical model to support it.","open data, open knowledge, open networks","open source, crowdfunding, online market place, open data, crowdsourcing, p2p   distributed exchange networks",6be5d181-a10d-1c6b-4c3a-837983cc82b2,2/1/2016
68c7d595-2c25-5da4-4f3a-8352fba6d5b6,openpetition.de,delivering a web service,www.openpetition.de,participation and democracy,open democracy,activation of citizens to care about politics and neighbourhood,open knowledge,e petitions,b49dcc82-ddff-fe5d-5f9b-2f4f254d17bb,
bd43f107-7bbe-3f78-5f58-88ffb0764dfb,PIXEL HUMAIN ,network,pixelhumain.com,"neighbourhood, networking, local community","open democracy, awareness networks, new ways of making, collaborative economy","to communect : is to connect local actors to start by changing things in a close perimeter, so that change happens where we can see it. 
Help citizens, NGOs, Companies, and Administrations interact. 
Build a generic opendata model of what runs a local city.","open networks, open data, open hardware, open knowledge","social networks, crowdsourcing, open source, crowdfunding, open data",d1998a76-1f27-1a0a-4c7c-4f7674001646,
24101c6f-b528-a5d5-6dad-6e2ef9bc9eeb,Best Practice European DSI in the Health Sector,advisory or expert body,Www.wendyfisherconsulting.co.uk,"work and employment, science, health and wellbeing, education and skills",open democracy,"The impact sought is better health outcomes as Trusts access best European practice Health DSI and scale up its impact.  
","open data, open knowledge, open networks","online peer support, online learning models and moocs, social media, p2p   distributed exchange networks, social networks",48bb458b-6e99-10fd-7eb8-982aeb9c3fd1,3/1/2015
c19d2327-5f4c-1e59-6d5a-5892fb57400a,Made Open,network,www.madeopen.co.uk,"participation and democracy, finance and economy, neighbourhood regeneration, health and wellbeing","funding acceleration and incubation, collaborative economy, open democracy","Made Open aims to:
- Build community resilience
- Create efficiencies
- Empower people

","open networks, open knowledge","online peer support, social networks, crowdsourcing, crowdfunding, p2p   distributed exchange networks, social media",6826c435-8df9-64ed-31a1-66adde8d0e43,
2f3f5fa6-c3c6-6492-f69e-c55c5d461b01,Futur of Food,maker and hacker spaces,www.callforteam.com,"neighbourhood regeneration, finance and economy, health and wellbeing, participation and democracy, energy and environment","open access, collaborative economy, funding acceleration and incubation, awareness networks, new ways of making, open democracy",Modifying consumer's habbits in the way they eat everyday's food in the plate,open knowledge,"crowdfunding, mobile apps, crowdsourcing, social networks",55b5fecf-f337-9cd0-18f3-88712e94c0a4,
fa9b3abc-a2ac-5f7c-ecda-d1b42a12adff,Crowdsourced futures,delivering a web service,www.futurescaper.com,participation and democracy,open democracy,"Futurescaper's social projects include:
- Post-Car(d) Urbanism, futures for a car-free Stockholm
- Youth unemployment in Kosovo, with the UN Development Programme
- Future of humanitarian NGOs with the START Network (formerly CBHA)
- Future of the OECD's international development agenda.",open knowledge,crowdsourcing,b29b2336-b8f2-e8e3-8ab3-5ff444919e5e,
